Reference,Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Impact.Factor.2019,Journal.Publisher,Paper.doi,Paper.Notes,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Population.Trend,Location,Location.GPS,Latitude,Longitude,Wild.Managed.Captive,Management,Population.Type,Interventions,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size,Av.Clutch.Size.lower,Av.Clutch.Size.upper,Av.Clutch.Size.Mean,log.Clutch.Size,10^.Clutch.Size,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.min,Eggs.StudyClutch.max,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Proportion,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition,Other.Observations,Notes
Lobo & Marini,2013,Lobo & Marini 2013,Lobo & Marini 2013 (02),"Artificial incubation, egg replacement and adoptive parents in bird management: a test with Lesser Elaenia Elaenia chiriquensis",Bird Conservation International,1.846,Cambridge University Press,﻿10.1017/S0959270912000111,NA,YES,YES,NO,2009,2010,2,Passeriformes,Tyrannidae,Lesser Elaenia,Elaenia_chiriquensis,Elaenia_chiriquensis,Elaenia chiriquensis,Elaenia_chiriquensis,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Estação Ecológica de Águas Emendadas, Distrito Federal, Brazil","﻿15°29’–15°36’S, 47°31’–47°41’W",-15.5422220, -47.613611,Wild managed,Managed,,Eggs removed for artificial incubation and hatched chicks returned,Artificial,No,No,No,No,No, No,Yes,No,19.58762887,80.41237113,0.00,0.00,,,,2,2,2,2,0.301029996,2,Manipulated - eggs removed for artificial incubation,NA,NA,NA,NA,50,NA,50,97,100,100,100,100,NA,NA,97,78,0.804123711,Not stated,Not stated,Mayfield Method (1975) - Number of eggs hatched by number of eggs incubated per nest [Hatching Rate],NA,NA,[Hatching Rate] Number of eggs hatched by number of eggs incubated per nest (Mayfield 1975),,Recalculated HS% to exclude eggs damaged during artificial incubation
Low & Pärt,2009,Low & Pärt 2009,Low & Pärt 2009,Patterns of mortality for each life-history stage in a population of the endangered New Zealand stitchbird,Journal of Animal Ecology,4.554,Wiley-Blackwell,﻿10.1111/j.1365-2656.2009.01543.x,Found in Stewart & Westneat (2013) Appendices 1 and 2,YES,YES,YES,1997,2005,8,Passeriformes,Notiomystidae,Stitchbird/Hihi,Notiomystis_cincta,Notiomystis_cincta,Notiomystis cincta,Notiomystis_cincta,VU,VU,VU,Threatened,Threatened,NA,,Stable,"Tiritiri Matangi Island, New Zealand","36°36′S, 174°53′E",-36.6000000,174.8833330,Wild managed,Managed,,Nest boxes; supplementary feeding,Natural,Yes,Yes,No,No,No,No,No,No,27,73,1.00,NA,,,,NA,NA,NA,NA,0.602059991,4,NA,NA,NA,NA,NA,396,NA,396,1616,NA,NA,NA,1584,NA,NA,1616,1179.68,0.73,Not stated,Not stated,Not stated,Not stated,Not stated,NA,"﻿Embryo mortality was the primary contributor to the low hatching success (73%) in this population, with the majority of embryo deaths occurring early in development",
Ludlow et al.,2014,Ludlow et al. 2014,Ludlow et al. 2014 (01),"Nesting ecology of grassland songbirds: effects of predation, parasitism, and weather",The Wilson Journal of Ornithology,0.574,Wilson Ornithological Society,﻿10.1676/13-176.1,NA,YES,YES,NO,2010,2011,2,Passeriformes,Passerellidae,Baird's Sparrow,Ammodramus_bairdii,Ammodramus_bairdii,Ammodramus bairdii,Ammodramus_bairdii,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Antelope Creek Habitat Development Area, southeastern Alberta, Canada","﻿50°33'N, 111°53'W",50.5500000,-111.8833330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,10,90,0.00,0.00,,,,4.4 ± 0.8,3.6,5.2,4.4,0.641804515,4.3833335,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,115,103.5,0.9,"""",Number of eggs hatched per nest,Number of eggs that hatched per clutch/nest,NA,NA,NA,,HS % taken from table 2 = % eggs incubated full term that hatched
Ludlow et al.,2014,Ludlow et al. 2014,Ludlow et al. 2014 (02),"Nesting ecology of grassland songbirds: effects of predation, parasitism, and weather",The Wilson Journal of Ornithology,0.574,Wilson Ornithological Society,﻿10.1676/13-176.1,NA,YES,YES,NO,2010,2011,2,Passeriformes,Motacillidae,Sprague's Pipit,Anthus_spragueii,Anthus_spragueii,Anthus spragueii,Anthus_spragueii,VU,VU,VU,Threatened,Threatened,NA,,Decreasing,"Antelope Creek Habitat Development Area, southeastern Alberta, Canada","﻿50°33'N, 111°53'W",50.5500000,-111.8833330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,8,92,0.00,0.00,,,,4.7 ± 0.6,4.1,5.3,4.7,0.672559628,4.705,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,65,59.8,0.92,"""",Number of eggs hatched per nest,Number of eggs that hatched per clutch/nest,NA,NA,NA,,HS % taken from table 2 = % eggs incubated full term that hatched
Ludlow et al.,2014,Ludlow et al. 2014,Ludlow et al. 2014 (03),"Nesting ecology of grassland songbirds: effects of predation, parasitism, and weather",The Wilson Journal of Ornithology,0.574,Wilson Ornithological Society,﻿10.1676/13-176.1,NA,YES,YES,NO,2010,2011,2,Passeriformes,Passerellidae,Savannah Sparrow,Passerculus_sandwichensis,Passerculus_sandwichensis,Passerculus sandwichensis,Passerculus_sandwichensis,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Stable,"Antelope Creek Habitat Development Area, southeastern Alberta, Canada","﻿50°33'N, 111°53'W",50.5500000,-111.8833330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,21,79,0.00,0.00,,,,4.5 ± 0.9,3.6,5.4,4.5,0.62324929,4.2,NA,NA,NA,NA,NA,NA,NA,NA,641,NA,NA,NA,NA,NA,NA,641,506.39,0.79,"""",Number of eggs hatched per nest,Number of eggs that hatched per clutch/nest,NA,NA,NA,,HS % taken from table 2 = % eggs incubated full term that hatched
Ludlow et al.,2014,Ludlow et al. 2014,Ludlow et al. 2014 (04),"Nesting ecology of grassland songbirds: effects of predation, parasitism, and weather",The Wilson Journal of Ornithology,0.574,Wilson Ornithological Society,﻿10.1676/13-176.1,NA,YES,YES,NO,2010,2011,2,Passeriformes,Passerellidae,Vesper Sparrow,Pooecetes_gramineus,Pooecetes_gramineus,Pooecetes gramineus,Pooecetes_gramineus,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Antelope Creek Habitat Development Area, southeastern Alberta, Canada","﻿50°33'N, 111°53'W",50.5500000,-111.8833330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,10,90,0.00,0.00,,,,3.8 ± 0.7,3.1,4.5,3.8,0.589577277,3.8866665,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,151,135.9,0.9,"""",Number of eggs hatched per nest,Number of eggs that hatched per clutch/nest,NA,NA,NA,,HS % taken from table 2 = % eggs incubated full term that hatched
Ludlow et al.,2014,Ludlow et al. 2014,Ludlow et al. 2014 (05),"Nesting ecology of grassland songbirds: effects of predation, parasitism, and weather",The Wilson Journal of Ornithology,0.574,Wilson Ornithological Society,﻿10.1676/13-176.1,NA,YES,YES,NO,2010,2011,2,Passeriformes,Icteridae,Western Meadowlark,Sturnella_neglecta,Sturnella_neglecta,Sturnella neglecta,Sturnella_neglecta,LC,LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Antelope Creek Habitat Development Area, southeastern Alberta, Canada","﻿50°33'N, 111°53'W",50.5500000,-111.8833330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,5,95,0.00,0.00,,,,5.4 ± 0.9,4.5,6.3,5.4,0.684845362,4.84,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,87,82.65,0.95,"""",Number of eggs hatched per nest,Number of eggs that hatched per clutch/nest,NA,NA,NA,,HS % taken from table 2 = % eggs incubated full term that hatched
Ludwig et al.,2018,Ludwig et al. 2018,Ludwig et al. 2018,Survival of chicks and adults explains variation in population growth in a recovering red grouse Lagopus lagopus scotica population,Wildlife Biology,1.258,Oikos Editorial Office [The Nordic Board for Wildlife Research (NKV)],﻿10.2981/wlb.00430,NA,YES,YES,NO,2009,2016,8,Galliformes,Phasianidae,Red Grouse,Lagopus_lagopus_scotica,Lagopus_lagopus_scotica,Lagopus lagopus,Lagopus_lagopus,SUBSPECIES,VU,VU,Threatened,Threatened,LC,VU (EEA),SUBSPECIES,"Langholm Moor, Langholm, Scotland, UK","﻿55°21'9''N, 2°88'5''W",55.1534310,-2.9987840,Wild managed,Managed,,"Predator control, habitat protection, antihelminhic drug",Natural,No,No,No,Yes,Yes,No,No,Antihelminhic drug,12,88,2.00,NA,,,,9.2 ± 0.2,9,9.4,9.2,0.940142791,8.7125,NA,NA,NA,NA,NA,88,NA,88,NA,792,827.2,809.6,NA,NA,NA,809.6,712.448,0.88,"""",Proportion of eggs hatching in successful nests,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,,"Reasons for nest failure = clutch predation, female death, clutch desertion, and unknown - excluded from HS%"
Lukasch et al.,2017,Lukasch et al. 2017,Lukasch et al. 2017,Major histocompatibility complex genes partly explain early survival in house sparrows,Scientific Reports,3.998,Nature Publishing Group,﻿10.1038/s41598-017-06631-z,NA,YES,YES,NO,2012,2012,1,Passeriformes,Passeridae,House Sparrow,Passer_domesticus,Passer_domesticus,Passer domesticus,Passer_domesticus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,Decreasing,"Konrad Lorenz Institute of Ethology, Vienna, Austria (captured from the wild in Vienna, Austria)",NA,48.2206330,16.2843500,Captive,Managed,Captured from wild,Captive,Natural,Yes,Yes,No,No,No,No,No,No,34.00503778,65.99496222,0.00,0.00,,,,NA,NA,NA,NA,0.640150041,4.366666667,NA,NA,NA,NA,NA,NA,NA,NA,397,NA,NA,NA,NA,NA,NA,397,262,0.659949622,Not stated,Not stated,Not stated,NA,NA,NA,"104/397 eggs had no visible embryo, 31/293 fertilised eggs experienced embryo mortality",HA % calculated from text
Mackintosh & Briskie,2005,Mackintosh & Briskie 2005,Mackintosh & Briskie 2005 (01),High levels of hatching failure in an insular population of the South Island robin: a consequence of food limitation?,Biological Conservation,4.711,Elsevier,﻿10.1016/j.biocon.2004.09.002,Original source = Byrne (1999),YES,YES,YES,1998,1999,2,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Motuara Island, New Zealand","﻿41°06'S, 174°16'E",-41.1000000,174.2666670,Wild,Unmanaged,Island; translocated; inbred,None,Natural,No,No,No,No,No,No,No,No,24.1,75.9,0.00,0.00,,,,2.03 ± 0.03,2,2.06,2.03,0.408663874,2.5625,NA,NA,NA,NA,NA,27,NA,27,54,54,55.62,54.81,NA,NA,NA,54,40.986,0.759,"Proportion of eggs that failed to hatch from those surviving to the end of the incubation period (excluded predation, desertion, accident, or severe weather)","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, accident, or severe weather",Not stated,Not stated,NA,,
Mackintosh & Briskie,2005,Mackintosh & Briskie 2005,Mackintosh & Briskie 2005 (02) - Per clutch,High levels of hatching failure in an insular population of the South Island robin: a consequence of food limitation?,Biological Conservation,4.711,Elsevier,﻿10.1016/j.biocon.2004.09.002,Found in Stewart & Westneat (2013) Appendices 1 and 2,YES,YES,YES,2001,2002,2,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Motuara Island, New Zealand","﻿41°06'S, 174°16'E",-41.1000000,174.2666670,Wild,Unmanaged,Island; translocated; inbred,None (control),Natural,No,No,No,No,No,No,No,No,36.7,63.3,8.80,NA,,,,2.12 ± 0.07,2.05,2.19,2.12,0.408663874,2.5625,NA,25,NA,NA,NA,25,NA,25,52,51.25,54.75,53,NA,NA,NA,52,32.916,0.633,"Proportion of eggs that failed to hatch from those surviving to the end of the incubation period (excluded predation, desertion, accident, or severe weather)","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, accident, or severe weather",Not stated,Not stated,NA,"18 unhatched eggs collected: 11 addled, 3 dead embryo, 2 infertile, 2 infertile/addled",Hatching failure per clutch ranged from 0% (all eggs hatched) to 100% (no eggs hatched successfully); food supplementation no sig. effect
Mackintosh & Briskie,2005,Mackintosh & Briskie 2005,Mackintosh & Briskie 2005 (02) - Whole population,High levels of hatching failure in an insular population of the South Island robin: a consequence of food limitation?,Biological Conservation,4.711,Elsevier,﻿10.1016/j.biocon.2004.09.002,Found in Stewart & Westneat (2013) Appendices 1 and 2,YES,YES,YES,2001,2002,2,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Motuara Island, New Zealand","﻿41°06'S, 174°16'E",-41.1000000,174.2666670,Wild,Unmanaged,Island; translocated; inbred,None (control),Natural,No,No,No,No,No,No,No,No,36.53846154,63.46153846,0.00,0.00,,,,2.12 ± 0.07,2.05,2.19,2.12,0.408663874,2.5625,NA,25,NA,NA,NA,25,NA,25,52,51.25,54.75,53,NA,NA,NA,52,33,0.634615385,"Proportion of eggs that failed to hatch from those surviving to the end of the incubation period (excluded predation, desertion, accident, or severe weather)","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, accident, or severe weather",Not stated,Not stated,NA,"18 unhatched eggs collected: 11 addled, 3 dead embryo, 2 infertile, 2 infertile/addled",Hatching failure per clutch ranged from 0% (all eggs hatched) to 100% (no eggs hatched successfully); food supplementation no sig. effect
Mackintosh & Briskie,2005,Mackintosh & Briskie 2005,Mackintosh & Briskie 2005 (03) - Per clutch,High levels of hatching failure in an insular population of the South Island robin: a consequence of food limitation?,Biological Conservation,4.711,Elsevier,﻿10.1016/j.biocon.2004.09.002,Found in Stewart & Westneat (2013) Appendices 1 and 2,YES,YES,YES,2001,2002,2,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Motuara Island, New Zealand","﻿41°06'S, 174°16'E",-41.1000000,174.2666670,Wild managed,Managed,Island; translocated; inbred,Experimental food supplementation,Natural,No,Yes,No,No,No,No,No,No,25,75,8.50,NA,,,,2.05 ± 0.05,2,2.1,2.05,0.408663874,2.5625,Experimental supplementary feeding,20,NA,NA,NA,20,NA,20,38,40,42,41,NA,NA,NA,38,28.5,0.75,"Proportion of eggs that failed to hatch from those surviving to the end of the incubation period (excluded predation, desertion, accident, or severe weather)","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, accident, or severe weather",Not stated,Not stated,NA,"18 unhatched eggs collected: 11 addled, 3 dead embryo, 2 infertile, 2 infertile/addled",Hatching failure per clutch ranged from 0% (all eggs hatched) to 100% (no eggs hatched successfully); food supplementation no sig. effect
Mackintosh & Briskie,2005,Mackintosh & Briskie 2005,Mackintosh & Briskie 2005 (03) - Whole population,High levels of hatching failure in an insular population of the South Island robin: a consequence of food limitation?,Biological Conservation,4.711,Elsevier,﻿10.1016/j.biocon.2004.09.002,Found in Stewart & Westneat (2013) Appendices 1 and 2,YES,YES,YES,2001,2002,2,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Motuara Island, New Zealand","﻿41°06'S, 174°16'E",-41.1000000,174.2666670,Wild managed,Managed,Island; translocated; inbred,Experimental food supplementation,Natural,No,Yes,No,No,No,No,No,No,23.68421053,76.31578947,0.00,0.00,,,,2.05 ± 0.05,2,2.1,2.05,0.408663874,2.5625,Experimental supplementary feeding,20,NA,NA,NA,20,NA,20,38,40,42,41,NA,NA,NA,38,29,0.763157895,"Proportion of eggs that failed to hatch from those surviving to the end of the incubation period (excluded predation, desertion, accident, or severe weather)","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, accident, or severe weather",Not stated,Not stated,NA,"18 unhatched eggs collected: 11 addled, 3 dead embryo, 2 infertile, 2 infertile/addled",Hatching failure per clutch ranged from 0% (all eggs hatched) to 100% (no eggs hatched successfully); food supplementation no sig. effect
Mackintosh & Briskie,2005,Mackintosh & Briskie 2005,Mackintosh & Briskie 2005 (04),High levels of hatching failure in an insular population of the South Island robin: a consequence of food limitation?,Biological Conservation,4.711,Elsevier,﻿10.1016/j.biocon.2004.09.002,Original source = Powlesland (1983) - have paper,YES,YES,YES,1977,1979,2,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Kowhai Bush, near Kaikoura, New Zealand","﻿42°23'S, 173°37'E",-42.3833330,173.6166670,Wild,Unmanaged,Mainland; outbred,None,Natural,No,No,No,No,No,No,No,No,9,91,0.00,0.00,,,,2.70 ± 0.04,2.66,2.74,2.7,0.408663874,2.5625,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,280,254.8,0.91,"Proportion of eggs that failed to hatch from those surviving to the end of the incubation period (excluded predation, desertion, accident, or severe weather)","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, accident, or severe weather",Not stated,Not stated,NA,,
Mackintosh & Briskie,2005,Mackintosh & Briskie 2005,Mackintosh & Briskie 2005 (05),High levels of hatching failure in an insular population of the South Island robin: a consequence of food limitation?,Biological Conservation,4.711,Elsevier,﻿10.1016/j.biocon.2004.09.002,Original source = Ornithological Society of New Zealand Nest Record Scheme,NO,YES,YES,NA,NA,NA,Passeriformes,Petroicidae,South Island Robin [australis],Petroica_australis_australis,Petroica_australis_australis,Petroica australis,Petroica_australis,SUBSPECIES,LC,LC,Non-threatened,Non-threatened,LC,Not threatened (NZTCS),SUBSPECIES,"Kowhai Bush, near Kaikoura, New Zealand","﻿42°23'S, 173°37'E",-42.3833330,173.6166670,Wild,Unmanaged,Mainland; outbred,None,Natural,No,No,No,No,No,No,No,No,7.4,92.6,1.50,NA,,2.7,,NA,NA,NA,NA,0.408663874,2.5625,NA,NA,NA,NA,NA,115,NA,115,NA,NA,NA,NA,NA,310.5,NA,310.5,287.523,0.926,"Proportion of eggs that failed to hatch from those surviving to the end of the incubation period (excluded predation, desertion, accident, or severe weather)","""","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, accident, or severe weather",Not stated,Not stated,NA,,
Mahmood et al.,2019,Mahmood et al. 2019,Mahmood et al. 2019,"Breeding Ecology of Chukor Partridge (Alectoris chukar) in Lower Dir District, Khyber Pakhtunkhwa, Pakistan",Pakistan Journal of Zoology,0.790,University of Punjab,﻿10.17582/journal.pjz/2019.51.1.265.271,NA,YES,YES,NO,2016,2017,1,Galliformes,Phasianidae,Chukar/Chukar Partridge,Alectoris_chukar,Alectoris_chukar,Alectoris chukar,Alectoris_chukar,LC,LC,LC,Non-threatened,Non-threatened,NA,,Stable,"District Lower Dir, Khyber Pakhtunkhwa, Pakistan","﻿35°10'-35°16'N, 71°50'-71° 83'E",35.1666670,71.8333330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,18.49122807,81.50877193,0.00,0.00,,,,12.5 ± 3.05,9.45,15.55,12.5,1.063989747,11.5875,NA,NA,NA,NA,NA,5,NA,5,74,47.25,77.75,62.5,57.9375,NA,NA,74,60.31649123,0.815087719,Not stated,Not stated,Not stated,NA,NA,NA,,"Table IV lists hatched and unhatched eggs, says 18.6% of eggs did not hatch and got wasted/aborted - doesn't suggest predated; Hatching success average across 5 nests, recalculated from table"
Malek & Haim,2019,Malek & Haim 2019,Malek & Haim 2019,"Bright artificial light at night is associated with increased body mass, poor reproductive success and compromised disease tolerance in Australian budgerigars (Melopsittacus undulatus)",Integrative Zoology,2.514,Delmar Publishers,﻿10.1111/1749-4877.12409,NA,YES,NO,YES,2017,2017,1,Psittaciformes,Psittacidae,Budgerigar,Melopsittacus_undulatus,Melopsittacus_undulatus,Melopsittacus undulatus,Melopsittacus_undulatus,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Ya-ad, Israel","﻿32°52′44″N, 35°14′36″E",32.8788890,35.2433330,Captive,Managed,,Captive,Natural,Yes,Yes,No,No,No,No,No,No,39,61,14.00,NA,,,,2 ± 0.37,1.63,2.37,2,0.696356389,4.97,ALAN duration,6 (control only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100 x number of chicks hatched//total eggs set,Percentage/Proportion of eggs that hatched relative to total eggs set,NA,,"Based on only 6 control pairs, all experimental pairs 0% hatchability"
Mallory et al.,2009,Mallory et al. 2009,Mallory et al. 2009 (01),Influence of weather on reproductive success of northern fulmars in the Canadian high Arctic,Polar Biology,1.728,Springer,﻿10.1007/s00300-008-0547-4,Original source = Falk and Møller (1997),YES,YES,YES,1993,1993,1,Procellariiformes,Procellariidae,Northern Fulmar,Fulmarus_glacialis,Fulmarus_glacialis,Fulmarus glacialis,Fulmarus_glacialis,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Mallemukfjeld, Greenland","80°11'N, 16°38'W",80.1833330,-16.6333330,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,15.6424581,84.3575419,0.00,0.00,,,,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,179,179,179,179,179,179,179,NA,NA,179,151,0.843575419,Not stated,Not stated,Not stated,Proportion of eggs incubated to full term that hatch,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,From Table 3 - states methodologies for assessing some parameters differed among studies,
Mallory et al.,2009,Mallory et al. 2009,Mallory et al. 2009 (02),Influence of weather on reproductive success of northern fulmars in the Canadian high Arctic,Polar Biology,1.728,Springer,﻿10.1007/s00300-008-0547-4,NA,YES,YES,YES,2001,2005,4,Procellariiformes,Procellariidae,Northern Fulmar,Fulmarus_glacialis,Fulmarus_glacialis,Fulmarus glacialis,Fulmarus_glacialis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Prince Leopold Island, Nunavut, Canada","﻿74°N, 90°W",74.0000000,-90.0000000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,7,93,0.00,0.00,,,,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,235,235,235,235,235,235,235,NA,NA,235,218.55,0.93,Not stated,Not stated,Not stated,Proportion of eggs incubated to full term that hatch,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,,Hatchability better matched our HS % definition
Mallory et al.,2009,Mallory et al. 2009,Mallory et al. 2009 (03),Influence of weather on reproductive success of northern fulmars in the Canadian high Arctic,Polar Biology,1.728,Springer,﻿10.1007/s00300-008-0547-4,NA,YES,YES,YES,2004,2005,2,Procellariiformes,Procellariidae,Northern Fulmar,Fulmarus_glacialis,Fulmarus_glacialis,Fulmarus glacialis,Fulmarus_glacialis,LC,LC,LC,Non-threatened,Non-threatened,NA,,Increasing,"Cape Vera colony, northern Devon Island, Canada","﻿76°15'N, 89°15'W",76.2500000,-89.2500000,Wild,Unmanaged,,None,Natural,No,No,No,No,No,No,No,No,2,98,0.00,0.00,,,,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,112,112,112,112,112,112,112,NA,NA,112,109.76,0.98,Not stated,Not stated,Not stated,Proportion of eggs incubated to full term that hatch,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,,Hatchability better matched our HS % definition
Manica et al.,2012,Manica et al. 2012,Manica et al. 2012 (01),Helpers at the nest of White-banded Tanager Neothraupis fasciata benefit male breeders but do not increase reproductive success,Journal of Ornithology,1.286,Springer,﻿10.1007/s10336-011-0718-x,NA,YES,NO,NO,2006,2007,2,Passeriformes,Thraupidae,White-banded Tanager,Neothraupis_fasciata,Neothraupis_fasciata,Neothraupis fasciata,Neothraupis_fasciata,NT,NT,NT,Non-threatened,Non-threatened,NA,,Decreasing,"Estação Ecológica de Águas Emendadas, Distrito Federal, Brazil","﻿15°32'32''S, 47°36'49''W",-15.5422220, -47.613611,Wild,Unmanaged,Helpers present,None,Natural,No,No,No,No,No,No,No,No,0,100,NA,0.00,,,,2.33 ± 0.49,1.84,2.82,2.33,NA,NA,NA,NA,NA,NA,NA,13,NA,13,NA,23.92,36.66,30.29,NA,NA,NA,30.29,30.29,1,NA,NA,Percentage/Proportion of eggs that hatched relative to clutch size for nests that survived to hatching [Hatching Rate],NA,NA,[Hatching Rate] Number of eggs that hatched divided by the clutch size for nests that survived to hatching,Presence of helpers at the nests did not significantly influence hatching rate,Only nests that reached hatching included in HS %
Manica et al.,2012,Manica et al. 2012,Manica et al. 2012 (02),Helpers at the nest of White-banded Tanager Neothraupis fasciata benefit male breeders but do not increase reproductive success,Journal of Ornithology,1.286,Springer,﻿10.1007/s10336-011-0718-x,NA,YES,NO,NO,2006,2007,2,Passeriformes,Thraupidae,White-banded Tanager,Neothraupis_fasciata,Neothraupis_fasciata,Neothraupis fasciata,Neothraupis_fasciata,NT,NT,NT,Non-threatened,Non-threatened,NA,,Decreasing,"Estação Ecológica de Águas Emendadas, Distrito Federal, Brazil","﻿15°32'32''S, 47°36'49''W",-15.5422220, -47.613611,Wild,Unmanaged,No helpers present,None,Natural,No,No,No,No,No,No,No,No,7,93,NA,15.00,,,,2.36 ± 0.49,1.87,2.85,2.36,NA,NA,NA,NA,NA,NA,NA,16,NA,16,NA,29.92,45.6,37.76,NA,NA,NA,37.76,35.1168,0.93,NA,NA,Percentage/Proportion of eggs that hatched relative to clutch size for nests that survived to hatching [Hatching Rate],NA,NA,[Hatching Rate] Number of eggs that hatched divided by the clutch size for nests that survived to hatching,Presence of helpers at the nests did not significantly influence hatching rate,Only nests that reached hatching included in HS %
